labels,Not,Exp
0,0.842252,0.15774792
0,0.9135275,0.086472526
0,0.8837577,0.11624226
0,0.9948014,0.0051986226
1,0.9918623,0.008137638
0,0.9081281,0.091871895
0,0.9628553,0.03714474
0,0.9810544,0.018945562
0,0.99416935,0.0058306577
0,0.9928879,0.0071120886
0,0.9881274,0.011872623
0,0.9878754,0.012124565
0,0.9517987,0.048201308
0,0.9911782,0.00882181
0,0.9921538,0.007846214
1,0.048695743,0.9513043
0,0.9680379,0.03196213
0,0.9893796,0.010620486
0,0.98565936,0.014340594
0,0.9845637,0.015436289
0,0.9822421,0.01775787
0,0.9742955,0.025704578
0,0.5475374,0.4524626
0,0.99412006,0.0058798557
0,0.96842796,0.031572036
0,0.976825,0.023174934
0,0.9925801,0.00741988
1,0.82288337,0.17711666
0,0.9862629,0.013737022
2,0.87937355,0.12062652
2,0.52935815,0.47064185
0,0.9886594,0.011340566
0,0.9791158,0.020884216
0,0.99262685,0.0073731327
0,0.9765928,0.023407243
0,0.9889768,0.011023242
0,0.9946977,0.005302315
0,0.9911436,0.008856391
1,0.057674892,0.94232506
1,0.064332366,0.9356676
1,0.7680774,0.23192263
0,0.9588568,0.041143198
0,0.9553775,0.044622473
1,0.94300884,0.056991175
0,0.9957957,0.004204312
0,0.9122209,0.08777914
0,0.9766228,0.023377199
1,0.05104496,0.94895506
0,0.90651953,0.09348053
0,0.98516047,0.014839461
0,0.9943821,0.005617905
0,0.918546,0.08145395
0,0.97956014,0.020439863
0,0.9959204,0.0040795733
0,0.9383056,0.06169441
0,0.9793357,0.020664288
0,0.9911782,0.00882181
0,0.98660266,0.013397369
0,0.8288183,0.17118168
0,0.29076657,0.7092334
0,0.5112916,0.4887084
1,0.78255343,0.21744658
0,0.9828728,0.017127192
1,0.9351074,0.064892665
1,0.07288892,0.9271111
0,0.98942226,0.010577752
0,0.98520875,0.014791244
0,0.59304667,0.4069533
0,0.97865397,0.021345994
0,0.9896965,0.010303529
0,0.93451184,0.06548819
0,0.99345136,0.006548655
1,0.060397804,0.9396022
0,0.98290217,0.017097872
0,0.9783553,0.021644775
0,0.98033065,0.019669335
0,0.9661234,0.03387659
2,0.95437586,0.045624066
0,0.9474826,0.05251743
0,0.98878014,0.01121984
2,0.9690235,0.03097646
1,0.27158362,0.7284164
0,0.9924143,0.0075856643
0,0.99190897,0.008090993
0,0.99341124,0.0065886914
1,0.058950003,0.94105
0,0.98948276,0.0105172945
1,0.71963984,0.28036013
1,0.056205753,0.9437942
0,0.9750506,0.0249494
0,0.98731345,0.012686518
0,0.99502987,0.0049701077
0,0.8651592,0.13484079
0,0.9892079,0.010792048
0,0.981926,0.018073997
0,0.9903646,0.009635408
0,0.9291948,0.07080522
0,0.9828728,0.017127192
1,0.9257581,0.07424192
1,0.83173704,0.16826296
1,0.396339,0.603661
0,0.94006985,0.05993014
0,0.99362814,0.0063718464
0,0.98819345,0.011806617
0,0.9260425,0.07395743
0,0.99222356,0.0077764583
0,0.9932793,0.0067206966
2,0.89374125,0.10625871
0,0.9805474,0.019452527
0,0.9881931,0.011806956
0,0.94619113,0.05380887
0,0.99031186,0.009688116
0,0.942133,0.05786705
0,0.99402034,0.005979718
0,0.9913033,0.008696697
0,0.9714016,0.028598418
0,0.99338466,0.006615279
0,0.70006466,0.29993534
0,0.9865237,0.01347635
0,0.9894549,0.010545035
0,0.89719343,0.10280651
0,0.96862936,0.031370662
0,0.93261904,0.06738095
0,0.989771,0.010229032
0,0.99366695,0.0063330852
0,0.985699,0.014301039
0,0.97662747,0.023372486
0,0.990128,0.009872041
0,0.60563606,0.394364
1,0.056205753,0.9437942
0,0.919565,0.08043497
0,0.99348927,0.0065107155
0,0.96239936,0.037600666
0,0.993807,0.0061929193
0,0.9900359,0.0099640535
1,0.42361408,0.5763859
0,0.7887553,0.21124476
0,0.9733445,0.026655553
1,0.9830241,0.016975846
0,0.95432574,0.045674298
2,0.9219659,0.0780341
0,0.9539776,0.046022482
1,0.06108408,0.9389159
1,0.96071625,0.03928375
0,0.991202,0.008797942
0,0.9905323,0.009467742
0,0.990022,0.009977968
2,0.95621496,0.043785047
0,0.9937948,0.0062051844
0,0.9860734,0.013926607
0,0.9896287,0.010371338
0,0.98515654,0.014843407
1,0.99471706,0.005282988
1,0.052376736,0.9476233
1,0.055523667,0.9444763
0,0.08252558,0.9174744
0,0.97787774,0.022122184
0,0.98104125,0.018958773
0,0.99251235,0.007487697
0,0.9163435,0.08365651
2,0.25032035,0.7496797
0,0.97665274,0.023347236
0,0.9788948,0.021105167
0,0.99335176,0.006648295
2,0.99199593,0.008004154
0,0.98258305,0.017416991
0,0.9890141,0.0109858345
0,0.949042,0.050958022
1,0.6878239,0.31217614
0,0.9891661,0.010833963
0,0.98925436,0.010745599
0,0.9918017,0.008198318
0,0.9595465,0.040453516
1,0.87660587,0.12339409
0,0.6273823,0.3726177
0,0.8103337,0.18966629
0,0.99154484,0.008455192
1,0.96609145,0.033908527
0,0.99464625,0.005353728
0,0.9780477,0.021952301
2,0.978773,0.021226993
0,0.9870123,0.012987692
1,0.08566321,0.91433674
0,0.98650914,0.013490837
0,0.98608124,0.013918699
1,0.6747323,0.32526764
0,0.98678154,0.013218505
0,0.93666553,0.06333449
0,0.99118793,0.008812084
1,0.61456877,0.38543123
0,0.9910024,0.008997696
0,0.9886457,0.011354386
0,0.98066413,0.019335883
0,0.9931028,0.0068972767
0,0.9885467,0.01145326
0,0.99140376,0.008596289
1,0.2131121,0.78688794
0,0.9711611,0.028838877
0,0.9903902,0.009609838
0,0.99110705,0.008893
0,0.99074066,0.009259349
1,0.057251167,0.9427488
2,0.8284488,0.17155126
1,0.91474426,0.08525577
0,0.9866246,0.013375351
0,0.9699793,0.030020665
0,0.9320905,0.06790942
1,0.670705,0.32929498
0,0.9701058,0.029894173
0,0.9930593,0.0069406847
0,0.60553634,0.39446366
0,0.9843983,0.0156016955
1,0.1228941,0.87710595
0,0.98878586,0.011214202
0,0.98086655,0.019133512
1,0.2201406,0.7798594
0,0.98342645,0.016573543
0,0.98999995,0.010000071
0,0.99022526,0.0097747985
0,0.99129444,0.008705539
0,0.9830293,0.016970707
2,0.5921233,0.40787664
2,0.062624134,0.9373758
0,0.99233425,0.0076657655
0,0.9935735,0.0064265165
0,0.9958621,0.004137869
0,0.98220336,0.017796654
0,0.94978076,0.050219253
2,0.99162537,0.008374682
2,0.95184195,0.04815807
0,0.32409137,0.67590857
0,0.9929387,0.00706129
0,0.812725,0.18727493
0,0.58096766,0.41903237
0,0.9934383,0.0065616495
0,0.97320276,0.026797261
0,0.9898789,0.010121096
0,0.96345997,0.03654002
0,0.9948773,0.005122769
0,0.37778097,0.622219
0,0.9947413,0.005258601
1,0.6916959,0.30830407
0,0.92811716,0.0718828
1,0.1280877,0.8719123
0,0.99327517,0.006724791
0,0.99347913,0.0065208087
0,0.9894722,0.010527785
1,0.085104875,0.9148952
0,0.9912999,0.0087000765
1,0.7473183,0.25268164
0,0.99217236,0.007827679
0,0.79187834,0.20812164
0,0.97298265,0.027017375
0,0.98516047,0.014839461
0,0.80938715,0.1906129
0,0.995518,0.004481987
0,0.6966858,0.30331418
0,0.9936459,0.006354162
2,0.910009,0.089991
1,0.8413766,0.15862341
2,0.99301744,0.0069826064
0,0.98836285,0.011637222
2,0.8874109,0.11258914
0,0.9916468,0.008353246
1,0.87928724,0.1207127
2,0.99329245,0.0067075123
0,0.9941928,0.005807174
0,0.9903702,0.00962974
0,0.9947285,0.005271496
0,0.98671806,0.013282003
0,0.9737471,0.026252968
0,0.9918399,0.008160037
0,0.9923873,0.0076127145
0,0.98900664,0.010993354
1,0.057091467,0.94290847
1,0.075123735,0.9248762
0,0.98968303,0.010316929
0,0.9918194,0.0081806565
0,0.9724674,0.027532542
1,0.9797349,0.020265087
0,0.9926594,0.00734062
2,0.9853152,0.014684808
2,0.41627666,0.5837233
0,0.99323785,0.0067621213
0,0.95677257,0.04322745
0,0.9898615,0.010138505
0,0.96688753,0.033112504
0,0.98515654,0.014843407
0,0.9835712,0.016428856
0,0.9958657,0.0041342922
0,0.873128,0.12687199
0,0.99414164,0.0058583473
0,0.9231562,0.07684382
0,0.9927939,0.0072061676
0,0.9742079,0.025792142
0,0.9806974,0.019302573
0,0.92177534,0.07822472
1,0.9767875,0.023212554
0,0.97757643,0.022423556
0,0.9931271,0.0068728356
0,0.9920392,0.007960866
0,0.99454653,0.0054535093
0,0.9435389,0.056461103
0,0.44930518,0.55069476
0,0.9927206,0.0072794645
0,0.98427737,0.015722625
0,0.98707575,0.0129242325
0,0.79447234,0.20552759
2,0.9734123,0.026587687
1,0.061015543,0.93898445
1,0.061015543,0.93898445
0,0.98957425,0.010425805
2,0.9935154,0.006484628
1,0.089937516,0.91006243
2,0.6326137,0.36738628
0,0.9339685,0.0660315
0,0.9905252,0.00947485
0,0.9224252,0.07757475
0,0.9884017,0.011598258
0,0.9903088,0.009691185
0,0.9823944,0.017605636
0,0.9943891,0.0056108558
0,0.41643724,0.5835628
0,0.1089713,0.89102876
0,0.985657,0.014343076
0,0.99122673,0.00877331
1,0.25869802,0.74130195
0,0.9904456,0.009554362
0,0.96437067,0.035629366
0,0.6416878,0.35831216
0,0.99378103,0.0062189642
2,0.7431827,0.2568173
0,0.9931571,0.00684286
0,0.78836757,0.21163243
1,0.6364485,0.36355147
2,0.9084473,0.091552734
0,0.99253803,0.0074620103
0,0.994779,0.00522104
0,0.21547356,0.7845264
2,0.95055985,0.049440097
0,0.95157874,0.048421312
0,0.9787104,0.021289567
0,0.991284,0.008716023
0,0.335301,0.664699
0,0.98572123,0.014278795
0,0.9924385,0.0075615156
0,0.6485047,0.35149536
1,0.102692395,0.89730763
0,0.9846836,0.015316368
0,0.6288813,0.37111875
0,0.9486491,0.05135092
0,0.9911378,0.008862141
1,0.052182592,0.94781744
0,0.98855376,0.011446303
0,0.80229026,0.19770972
0,0.9868962,0.013103822
0,0.9802506,0.019749416
0,0.93412375,0.06587621
0,0.9835074,0.016492559
0,0.9629192,0.037080795
0,0.98843086,0.011569208
0,0.994679,0.0053210566
0,0.94871634,0.051283672
0,0.8935221,0.106477864
0,0.9759445,0.024055468
0,0.97549415,0.024505865
0,0.9938117,0.0061881966
0,0.99418676,0.0058132177
0,0.9409676,0.0590323
1,0.9892616,0.010738424
2,0.99059653,0.009403435
1,0.2786378,0.7213622
0,0.8201639,0.17983606
0,0.7227167,0.2772833
0,0.9781749,0.02182511
0,0.9932857,0.0067142895
0,0.85024655,0.14975344
1,0.05661331,0.94338673
0,0.99136776,0.008632221
0,0.90841484,0.0915851
0,0.9939202,0.006079816
0,0.9904648,0.009535213
2,0.92647636,0.07352368
0,0.99453545,0.005464556
0,0.98995435,0.0100456225
0,0.98094547,0.019054499
0,0.91989774,0.08010229
0,0.9861683,0.013831702
0,0.99414235,0.005857658
0,0.9806816,0.019318445
0,0.8232729,0.17672713
0,0.9899977,0.010002261
0,0.97951496,0.020485014
0,0.8685182,0.13148186
0,0.9940971,0.0059028817
0,0.990732,0.009268013
0,0.964929,0.035071094
0,0.9931536,0.0068464847
0,0.9911782,0.00882181
0,0.9932957,0.006704315
